id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1ISqxcKx6GHXjomB4NfkpF,0.851,0.615,-6.386,0.0474,0.0843,3.28e-05,0.312,0.781,135.975
20xJN09dBJBEImfp9NPdGb,0.493,0.356,-11.509,0.124,0.853,3.86e-05,0.104,0.259,175.891
1Rh9hc3Aiwoa5SqFQ38GCR,0.746,0.456,-8.188,0.0688,0.397,0.0,0.206,0.416,92.99
4uIUzjIyDv44ujfGxq71Nr,0.706,0.405,-7.433,0.0626,0.61,0.00146,0.128,0.115,135.099
6oF2soqgQMtooPKPfwvLuv,0.535,0.814,-5.822,0.0434,0.000988,7.31e-06,0.29,0.81,147.956
2A40QN4ZhgQkMUisMNCfKl,0.726,0.693,-10.811,0.0569,0.151,0.0,0.118,0.158,96.054
54yLpFYOoBrtcPCuPoQFmT,0.718,0.32,-9.478,0.0427,0.055,1.89e-05,0.0627,0.52,80.141
1oqMcfTIImKhsMvhjmav38,0.448,0.436,-6.733,0.0369,0.432,0.0,0.336,0.0584,145.454
1v7exhEYimYPHHV58YyYY6,0.603,0.73,-5.939,0.0342,0.166,1.09e-06,0.0887,0.477,148.047
69EFUUpuPqSQIjOXPWHwPs,0.465,0.269,-11.488,0.0524,0.753,0.0,0.108,0.27,90.197
1HIaWRjqQwq6ONlvuyLabv,0.784,0.478,-8.143,0.16,0.0707,0.0,0.286,0.33,91.994
5FBklZYUOHwoECfWqZKm5z,0.415,0.307,-8.155,0.0671,0.5,0.0,0.103,0.192,81.933
5L1eW2bt7pDbjhNLKWKom2,0.621,0.838,-5.006,0.0909,0.0416,0.0,0.347,0.329,103.103
7i486TulfhsAzMItM2zChQ,0.508,0.587,-7.588,0.118,0.391,0.0,0.311,0.305,171.827
54uPFCxWYiR7if8q7TAzeo,0.485,0.605,-8.401,0.0467,0.766,0.0,0.181,0.381,99.887
3VMK6tAjOT4INvBdZOtB9J,0.743,0.671,-5.79,0.212,0.105,0.0,0.238,0.477,76.501
3D5nCqvEqVuLIyTvMMZmFt,0.652,0.556,-6.68,0.0757,0.467,1.43e-06,0.114,0.471,199.982
0QHST6B9xjYappSPkG6M6V,0.608,0.634,-5.65,0.212,0.722,0.0,0.12,0.701,104.51
0Yjgmp2Hntqa3z5Wolmfaa,0.602,0.405,-7.157,0.0319,0.903,0.0,0.133,0.321,137.743
0IE8GLbz4rcS7wGq40eQhr,0.65,0.56,-6.719,0.0362,0.564,9.92e-06,0.397,0.561,95.03
7uy7ZDVB2E66cXEQJsC6Bz,0.737,0.571,-9.289,0.106,0.268,3.13e-05,0.147,0.836,174.968
6xniBg7UJ03jcyvOgfWVJk,0.573,0.559,-8.365,0.397,0.735,3.02e-06,0.125,0.62,105.037
1xY16wZWhPXeH2xJi29enJ,0.796,0.628,-6.776,0.0468,0.474,1.89e-06,0.6,0.902,124.97
5TNWWztSNO6ob9QwfLbBQu,0.821,0.423,-10.827,0.115,0.235,1.98e-05,0.12,0.569,159.869
64CMQ6ijSFHHGoRRIL7CSX,0.518,0.766,-5.358,0.0348,0.00658,2.82e-06,0.598,0.223,154.876
4dO4oVzvRrRRsJgaT4ORlM,0.409,0.504,-5.62,0.0448,0.76,0.0,0.344,0.499,169.244
7neh3zxtgTMy8sokYe5rt2,0.764,0.522,-6.747,0.0407,0.304,0.0,0.104,0.717,103.921
4KEDHEiYQYeZOsGi0ANzU3,0.723,0.499,-8.815,0.0413,0.343,0.0028,0.0924,0.413,152.959
1WeovbMrXQynSFyqOjz8AS,0.645,0.709,-5.61,0.0466,0.104,1.64e-06,0.165,0.649,89.871
1Q7HO1L7KO46VlMH8C3Abh,0.64,0.424,-11.221,0.0378,0.476,0.0,0.0851,0.387,123.006
1tRipF8otglG45CiFZ8giv,0.854,0.524,-8.239,0.0479,0.0207,1.01e-06,0.126,0.69,123.982
6fVazKhR05IQGpyTDnyd3L,0.657,0.387,-14.169,0.0782,0.508,0.0371,0.107,0.393,180.012
46XkICBNOmSKIwVh8ITZK9,0.527,0.884,-4.185,0.0571,0.0297,0.000149,0.187,0.18,148.065
53sJvusNFdlydkytlEbUJy,0.606,0.494,-8.995,0.0354,0.158,0.0,0.35,0.268,80.542
2RdREuezrUKCuCcCz5a7ZC,0.587,0.639,-6.883,0.0769,0.0924,4.53e-06,0.269,0.258,94.927
6laTBQ8WDaA1F3zPAaPY68,0.581,0.545,-8.585,0.0511,0.417,0.0,0.0731,0.628,127.291
3sIIMu9DJlBOJ8jt5UqICC,0.565,0.832,-5.245,0.0274,0.00602,0.0,0.177,0.372,149.04
05jgkkHC2o5edhP92u9pgU,0.378,0.391,-7.896,0.0362,0.747,0.0,0.18,0.208,167.571
3EMVljpsr9TPKYScAFQNJh,0.656,0.728,-4.319,0.0453,0.0464,0.0,0.395,0.467,118.045
6jNzsK1Ef8H2QcXjFUCsZV,0.577,0.769,-7.241,0.0466,0.124,5.58e-05,0.0915,0.649,163.931
