id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1usjCpkfoQGOxHgtEi3Ie2,0.724,0.902,-3.572,0.0515,0.129,0.0,0.835,0.966,150.053
5WfHlr9Fh8PH1BUyJYZEqj,0.597,0.944,-3.21,0.067,0.138,0.00781,0.126,0.739,121.929
5fdzF55N3qDRNpNyzzaMxp,0.803,0.875,-8.729,0.0554,0.00138,0.587,0.0461,0.877,124.994
4M04nl67VI4LAQlKAZ5Ene,0.708,0.661,-12.19,0.221,0.342,6.82e-05,0.124,0.64,160.065
5XtPWvsMr0zwFuTL0hupyx,0.95,0.703,-7.067,0.431,0.0631,0.926,0.157,0.355,139.995
3MHnvhCo3gAOmjesEPgeZp,0.667,0.271,-7.813,0.0882,0.945,0.0,0.113,0.855,126.258
6ILpnOUHollfHp4xWH7nqV,0.641,0.889,-4.302,0.028,0.000283,0.000723,0.288,0.738,99.012
39Y8Co0z2J1AbzF11rhuFO,0.303,0.943,-5.499,0.183,0.0369,3.84e-05,0.52,0.547,102.942
2oWlGT3d87u1moRLT1xlLq,0.678,0.595,-10.216,0.0341,0.172,0.552,0.211,0.6,121.972
7njPxDx0b6UolC2IaxhbTs,0.617,0.773,-8.967,0.956,0.82,0.0,0.958,0.44,84.32
4UBiDgrvew425SI78KkVv8,0.611,0.542,-9.194,0.0324,0.181,0.0613,0.0733,0.317,86.993
5lGo7uNwCREOUz5ccGRa1k,0.429,0.312,-9.376,0.0314,0.698,0.0,0.121,0.649,77.051
5Ihvp5xErxr4uznpHOAOZl,0.65,0.994,-0.769,0.269,0.000216,0.595,0.164,0.314,112.406
0oQCYj5HPFOc5LobhEyHIX,0.718,0.718,-7.156,0.0262,0.0346,0.000284,0.0797,0.935,105.915
7E4dz4rNFYOBvoODtCfKd6,0.365,0.87,-8.912,0.0496,0.0167,0.781,0.732,0.536,78.7
5uvwQV3cMZtS2DrV2zR3RR,0.655,0.85,-3.793,0.0322,0.132,0.000451,0.104,0.389,127.996
4YJrU4952SN95kMRWSTiY6,0.409,0.122,-18.754,0.033,0.945,0.81,0.0907,0.168,94.747
1nSqO0An4hZxUh7YcZaaSI,0.44,0.484,-9.707,0.03,0.0993,0.861,0.13,0.0791,89.989
09rIidZW9ctL0SpTWh9wbJ,0.806,0.722,-12.383,0.0582,0.0631,0.885,0.0886,0.34,126.028
4L8P3YlwAUfa1y1IBRveyJ,0.649,0.56,-13.75,0.937,0.734,0.0,0.914,0.677,111.13
2qGjO6CB7jk6oEm0eoEvIB,0.111,0.0941,-17.121,0.0421,0.984,0.917,0.177,0.0382,77.046
1vtmZntuPsSxNBLPX6yHWz,0.634,0.567,-9.265,0.0526,0.223,0.0155,0.26,0.443,147.329
3BhoY2WImjVtAQGlB45ZjM,0.452,0.0934,-23.121,0.0432,0.992,0.929,0.128,0.0606,117.01
